"RefDes","Value","Name","Part","Manufacturer","Quantity"
"C1","1uF","CAP_0805","Part 1","","1"
"C2","22pF","CAP_0805","Part 1","","1"
"C3","22pF","CAP_0805","Part 1","","1"
"C4","0.1uF","CAP_0805","Part 1","","1"
"C5","0.1uF","CAP_0805","Part 1","","1"
"C6","10uF","CAP_0805","Part 1","","1"
"C7","0.1uF","CAP_0805","Part 1","","1"
"C8","0.1uF","CAP_0805","Part 1","","1"
"C9","10uF","CAP_0805","Part 1","","1"
"D1","","MBR120","Part 1","ON Semiconductor","1"
"DS1","","DIODE_0805","Part 1","","1"
"DS2","","DIODE_0805","Part 1","","1"
"DS3","","DIODE_0805","Part 1","","1"
"DS4","","DIODE_0805","Part 1","","1"
"DS5","Orange LED","DIODE_0805","Part 1","","1"
"FD1","","1mm Fiducial","Part 1","","1"
"FD2","","1mm Fiducial","Part 1","","1"
"J1","","ZX62-B-5PA","Part 1","Hirose","1"
"J2","","HDR-1x2","Part 1","","1"
"J3","","HDR-1x2","Part 1","","1"
"J4","","90131-0123","Part 1","Molex","1"
"J5","","JST-PH 2pin_SMT","Part 1","","1"
"J6","","HDR-1x2","Part 1","","1"
"J7","","HDRF-1x5","Part 1","","1"
"J8","","HDR-1x4","Part 1","","1"
"LS1","","VEML7700","Part 1","Vishay","1"
"R1","22 Ohm","RES_0805","Part 1","","1"
"R2","22 Ohm","RES_0805","Part 1","","1"
"R3","10K","RES_0805","Part 1","","1"
"R4","4.7K","RES_0805","Part 1","","1"
"R5","4.7K","RES_0805","Part 1","","1"
"R6","100 Ohms","RES_0805","Part 1","","1"
"R7","100 Ohms","RES_0805","Part 1","","1"
"R8","100 Ohms","RES_0805","Part 1","","1"
"R9","0 Ohm","RES_0805","Part 1","","1"
"R10","100 Ohms","RES_0805","Part 1","","1"
"R11","100K","RES_0805","Part 1","","1"
"R12","10K","RES_0805","Part 1","","1"
"R13","1K","RES_0805","Part 1","","1"
"R14","10K","RES_0805","Part 1","","1"
"R15","10K","RES_0805","Part 1","","1"
"R16","0 Ohm","RES_0805","Part 1","","1"
"S1","","B3U-1000P","Part 1","OMRON","1"
"S2","","B3U-1000P","Part 1","OMRON","1"
"U1","","RN2903","Part 1","Microchip","1"
"U2","","CONSMA003.062","Part 1","Linx Technologies","1"
"U3","","ATMEGA32U4","Part 1","Atmel","1"
"U4","","USB6B1","Part 1","ST","1"
"U5","","BME280","Part 1","Bosch Sensortec","1"
"U6","","AP2112K-3.3TRG1","Part 1","Diodes Incorporated","1"
"U7","","MCP73831SOT23-5","Part 1","","1"
"X1","","ABMM-16.000MHZ-B2-T","Part 1","Abracon","1"
